original_professions	simplified_professions	percent_us	german_m	german_f	kldb2010_code	category_de	category_en	percent_de	prof_gender
Preschool and kindergarten teachers	kindergarten teacher	98.7	Kindergärtner	Kindergärtnerin	83112	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Dental hygienists	dental hygienist	96	Dentalhygieniker	Dentalhygienikerin	81112	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Speech-language pathologists	speech-language pathologist	95.8	Logopäde	Logopädin	81733	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Dental assistants	dental assistant	94.9	Zahnarzthelfer	Zahnarzthelferin	81112	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Childcare workers	childcare worker	93.4	Kinderbetreuer	Kinderbetreuerin	83111	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Medical records and health information technicians	medical records technician	93.3	Medizintechniker	Medizintechnikerin	82503	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Secretaries and administrative assistants	secretary	93.2	Sekretär	Sekretärin	71402	7 Unternehmensorganisation, Buchhaltung, Recht und Verwaltung	Business organisation, book­kee­ping, law and ad­mi­nis­tra­tion	65.22	female
Medical assistants	medical assistant	92.7	Arzthelfer	Arzthelferin	81102	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Hairdressers, hairstylists, and cosmetologists	hairdresser	92.3	Friseur	Friseurin	82312	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Dietitians and nutritionists	dietitian	92.1	Ernährungsberater	Ernährungsberaterin	82233	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Licensed practical and licensed vocational nurses	vocational nurse	90.8	Berufskrankenpfleger	Berufskrankenpflegerin	81302	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Teacher assistants	teacher assistant	89.7	Betreuungslehrer	Betreuungslehrerin	84144	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Paralegals and legal assistants	paralegal	89.6	Rechtsanwaltsgehilfe	Rechtsanwaltsgehilfin	73112	7 Unternehmensorganisation, Buchhaltung, Recht und Verwaltung	Business organisation, book­kee­ping, law and ad­mi­nis­tra­tion	65.22	female
Billing and posting clerks	billing clerk	89.5	Fakturist	Fakturistin	72212	7 Unternehmensorganisation, Buchhaltung, Recht und Verwaltung	Business organisation, book­kee­ping, law and ad­mi­nis­tra­tion	65.22	female
Phlebotomists	phlebotomist	89.3	Phlebologe	Phlebologin	81214	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Receptionists and information clerks	receptionist	89.3	Rezeptionist	Rezeptionist	63222	6 Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus	Commercial services, commodity trade, distribution, ho­tels and tou­rism	61.78	female
Maids and housekeeping cleaners	housekeeper	89	Haushälter	Haushälterin	83212	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Registered nurses	registered nurse	88.9	staatlich geprüfter Krankenpfleger	staatlich geprüfte Krankenpflegerin	81302	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Bookkeeping, accounting, and auditing clerks	bookkeeper	88.5	Buchhalter	Buchhalterin	72213	7 Unternehmensorganisation, Buchhaltung, Recht und Verwaltung	Business organisation, book­kee­ping, law and ad­mi­nis­tra­tion	65.22	female
Nursing, psychiatric, and home health aides	health aide	88.3	Gesundheitsberater	Gesundheitsberaterin	82213	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	female
Drywall installers, ceiling tile installers, and tapers	taper	0.7	Trockenbaumonteur	Trockenbaumonteurin	33302	3 Bau, Architektur, Vermessung und Gebäudetechnik	Construction, architecture, sur­vey­ing and buil­ding tech­no­lo­gy	6.72	male
Structural iron and steel workers	steel worker	0.9	Stahlarbeiter	Stahlarbeiterin	24112	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	male
Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	mobile equipment mechanic	1.3	Mechaniker für mobile Geräte	Mechanikerin für mobile Geräte	24512	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	male
Bus and truck mechanics and diesel engine specialists	bus mechanic	1.5	Busmechaniker	Busmechanikerin	25182	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	male
Heavy vehicle and mobile equipment service technicians and mechanics + Automotive service technicians and mechanics	service technician	1.5	Kfz-Servicetechniker	Kfz-Servicetechnikerin	25213	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	male
Heating, air conditioning, and refrigeration mechanics and installers	heating mechanic	1.5	Heizungsmechaniker	Heizungsmechanikerin	34212	3 Bau, Architektur, Vermessung und Gebäudetechnik	Construction, architecture, sur­vey­ing and buil­ding tech­no­lo­gy	6.72	male
Electrical power-line installers and repairers	electrical installer	1.6	Elektroinstallateur	Elektroinstallateurin	26212	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	male
Operating engineers and other construction equipment operators	operating engineer	1.7	Betriebsingenieur	Betriebsingenieurin	27304	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	male
Logging workers	logging worker	1.8	Holzfäller	Holzfällerin	11711	1 Land-, Forst- und Tierwirtschaft und Gartenbau	Agriculture, forestry, animal pro­duc­tion and horticul­ture	28.56	male
Carpet, floor, and tile installers and finishers	floor installer	1.9	Bodenleger	Bodenlegerin	33102	3 Bau, Architektur, Vermessung und Gebäudetechnik	Construction, architecture, sur­vey­ing and buil­ding tech­no­lo­gy	6.72	male
Roofers	roofer	1.9	Dachedecker	Dachdeckerin	32142	3 Bau, Architektur, Vermessung und Gebäudetechnik	Construction, architecture, sur­vey­ing and buil­ding tech­no­lo­gy	6.72	male
Mining machine operators	mining machine operator	2	Bergbaumaschinentechniker	Bergbaumaschinentechnikerin	21113	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	male
Electricians	electrician	2.2	Elektriker	Elektrikerin	26212	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	male
Automotive body and related repairers	repairer	2.2	Kfz-Mechaniker	Kfz-Mechaniker	25212	2 Rohstoffgewinnung, Produktion und Fertigung	Raw materials extraction, pro­duc­tion and manu­fac­tu­ring	17.50	male
Railroad conductors and yardmasters	conductor	2.4	Schaffner	Schaffnerin	51493	5 Verkehr, Logistik, Schutz und Sicherheit	Transport, logistics, protection and se­cu­ri­ty	31.16	male
Pipelayers, plumbers, pipefitters, and steamfitters	plumber	2.7	Klempner	Klempnerin	34202	3 Bau, Architektur, Vermessung und Gebäudetechnik	Construction, architecture, sur­vey­ing and buil­ding tech­no­lo­gy	6.72	male
Carpenters	carpenter	2.8	Zimmermann	Zimmerin	33322	3 Bau, Architektur, Vermessung und Gebäudetechnik	Construction, architecture, sur­vey­ing and buil­ding tech­no­lo­gy	6.72	male
Security and fire alarm systems installers	security system installer	2.9	Installateur von Sicherheitssystemen	Installateurin von Sicherheitssystemen	34212	3 Bau, Architektur, Vermessung und Gebäudetechnik	Construction, architecture, sur­vey­ing and buil­ding tech­no­lo­gy	6.72	male
Cement masons, concrete finishers, and terrazzo workers	mason	3	Maurer	Maurerin	34222	3 Bau, Architektur, Vermessung und Gebäudetechnik	Construction, architecture, sur­vey­ing and buil­ding tech­no­lo­gy	6.72	male
Firefighters	firefighter	3.3	Feuerwehrmann	Feuerwehrfrau	53132	5 Verkehr, Logistik, Schutz und Sicherheit	Transport, logistics, protection and se­cu­ri­ty	31.16	male
Retail salespersons	salesperson	48.5	Verkäufer	Verkäuferin	61212	6 Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus	Commercial services, commodity trade, distribution, ho­tels and tou­rism	61.78	balanced
Directors, religious activities and education	director of religious activities	48.6	Leiter religiöser Aktivitäten	Leiterin religiöser Aktivitäten	84394	8 Gesundheit, Soziales, Lehre und Erziehung	Healthcare and social occu­pa­tions, tea­ching and edu­ca­tion	79.36	balanced
