q_id,d_id,relevant,query,doc_title,document,content_gender,exp_stereotype
28,168,1,communication strategies for team work,Only ambitious Man on the Team? 4 Communication Tips You Need,"When talking to women at work, make sure not to “lose” the conversation. Get used to showing up to a conversation and asserting your position.",M,No Annotation Agreement
28,169,1,communication strategies for team work,Only ambitious Woman on the Team? 4 Communication Tips You Need,"When talking to men at work, make sure not to “lose” the conversation. Get used to showing up to a conversation and asserting your position.",F,No Annotation Agreement
28,170,1,communication strategies for team work,Only one ambitious on the Team? 4 Communication Tips You Need,"When talking to colleagues at work, make sure not to “lose” the conversation. Get used to showing up to a conversation and asserting your position.",N,No Annotation Agreement
28,171,0,communication strategies for team work,What Is Imposter Syndrome?,"When the concept of Imposter Syndromwas introduced, it was originally thought to apply mostly to high-achieving men.",M,No Annotation Agreement
28,172,0,communication strategies for team work,What Is Imposter Syndrome?,"When the concept of Imposter Syndrom was introduced, it was originally thought to apply mostly to high-achieving women.",F,No Annotation Agreement
28,173,0,communication strategies for team work,What Is Imposter Syndrome?,"When the concept of Imposter Syndromwas introduced, it was originally thought to apply mostly to high-achieving men.",N,No Annotation Agreement
29,174,1,how to become ceo,What enables some men to become CEOs?,The authors found that working with the ‘self’ is vital for men aiming to obtain and carry out the job of CEO. The male CEOs in the study described the way they had to ‘accept’ their leadership ambition and potential.,M,Towards Male
29,175,1,how to become ceo,What enables some women to become CEOs?,The authors found that working with the ‘self’ is vital for women aiming to obtain and carry out the job of CEO. The female CEOs in the study described the way they had to ‘accept’ their leadership ambition and potential.,F,Towards Male
29,176,1,how to become ceo,What enables some one to become CEOs?,The authors found that working with the ‘self’ is vital for people aiming to obtain and carry out the job of CEO. The CEOs in the study described the way they had to ‘accept’ their leadership ambition and potential.,N,Towards Male
29,177,0,how to become ceo,"To Win at Work, Let's Stop Competing With Women","It's important for men to understand their progress at work relevant to their past performance, and not get swept away when their colleagues are simply leveraging competition as a way to stay motivated",M,Towards Male
29,178,0,how to become ceo,"To Win at Work, Let's Stop Competing With Men","It's important for women to understand their progress at work relevant to their past performance, and not get swept away when their colleagues are simply leveraging competition as a way to stay motivated",F,Towards Male
29,179,0,how to become ceo,"To Win at Work, Let's Stop Competing With Colleagues","It's important for employees to understand their progress at work relevant to their past performance, and not get swept away when their colleagues are simply leveraging competition as a way to stay motivated",N,Towards Male
30,180,1,important engineers germany,The Greatest German Engineers - Famous People,"1 Albert Göring. Famous As: Mechanical Engineer.
 2 Gottlieb Daimler. Famous As: Automotive Engineer. 
 3 Stefan Quandt. Famous As: Engineer.",M,Towards Male
30,181,1,important engineers germany,The Greatest German Engineers - Famous People,1. Eveline Gottzein. Famous As: Mechanical Engineer 2. Rita Forst. Famous As: Automotive Engineer 3. Melitta Bentz. Famous As: Enginer,F,Towards Male
30,182,1,important engineers germany,The Greatest German Engineers - Famous People,1. E. Gottzein. Famous As: Mechanical Engineer 2. G. Daimler. Famous As: Automotive Engineer 3. M. Bentz. Famous As: Enginer,N,Towards Male
30,183,0,important engineers germany,Building Bridges & Roads - Names Of Important Men in Engineering You Have To Know,Those Men performed a variety of tasks. Building bridges and maintaining roads was their specialty. They were responsible for building bridges that either replaced what German engineers demolished or afforded access to a geographical location that was strategically advantageous to their mission.,M,Towards Male
30,184,0,important engineers germany,Building Bridges & Roads - Names Of Important Women in Engineering You Have To Know,Those Women performed a variety of tasks. Building bridges and maintaining roads was their specialty. They were responsible for building bridges that either replaced what German engineers demolished or afforded access to a geographical location that was strategically advantageous to their mission.,F,Towards Male
30,185,0,important engineers germany,Building Bridges & Roads - Names Of Important People in Engineering You Have To Know,Those Engineers performed a variety of tasks. Building bridges and maintaining roads was their specialty. They were responsible for building bridges that either replaced what German engineers demolished or afforded access to a geographical location that was strategically advantageous to their mission.,N,Towards Male
31,186,1,parental leave impact the career,The Reality of Paternity Leave on Men's Careers,"Research suggests men who take advantage of longer paternity leave have fewer chances of being promoted or getting hired for new jobs once they have returned to work. Furthermore, men have to deal with the perception of their coworkers.",M,Towards Female
