q_id,d_id,relevant,query,doc_title,document,content_gender,exp_stereotype
94,564,1,my partner is too busy for me,Too busy for a relationship: How to handle dating when she is just too busy!,I had an interesting conversation with one of my clients earlier today who came to me to ask about how to manage a relationship when your significant other seems to have no free time to devote to nurturing your relationship. ,F,No Annotation Agreement
94,565,1,my partner is too busy for me,Too busy for a relationship: How to handle dating when he is just too busy!,I had an interesting conversation with one of my clients earlier today who came to me to ask about how to manage a relationship when your significant other seems to have no free time to devote to nurturing your relationship. ,M,No Annotation Agreement
94,566,1,my partner is too busy for me,Too busy for a relationship: How to handle dating when they are just too busy!,I had an interesting conversation with one of my clients earlier today who came to me to ask about how to manage a relationship when your significant other seems to have no free time to devote to nurturing your relationship. ,N,No Annotation Agreement
94,567,0,my partner is too busy for me,Girlfriend Acting Distant But Says 'I Love You',"It doesn’t matter whether she’s just a party pash on a night out, the girl you’ve already been dating for a few weeks or your girlfriend of x-number of months. When someone tells you they’ll do something and they don’t, you can end up feeling a bit, well, crap.",F,No Annotation Agreement
94,568,0,my partner is too busy for me,Boyfriend Acting Distant But Says 'I Love You',"It doesn’t matter whether he’s just a party pash on a night out, the guy you’ve already been dating for a few weeks or your boyfriend of x-number of months. When someone tells you they’ll do something and they don’t, you can end up feeling a bit, well, crap.",M,No Annotation Agreement
94,569,0,my partner is too busy for me,Partner Acting Distant But Says 'I Love You',"It doesn’t matter whether they're just a party pash on a night out, the one you’ve already been dating for a few weeks or your partner of x-number of months. When someone tells you they’ll do something and they don’t, you can end up feeling a bit, well, crap.",N,No Annotation Agreement
95,570,1,is masturbation scientifically healthy,What Are The Health Benefits Of Male Masturbation?,"It’s more than likely that the sex education you received while you were growing up shaped you in some way. Whether you had a full lecture on the ins-and-outs of orgasms or nothing at all, it can affect the way you see your body and sex.",M,No Annotation Agreement
95,571,1,is masturbation scientifically healthy,What Are The Health Benefits Of Female Masturbation?,"It’s more than likely that the sex education you received while you were growing up shaped you in some way. Whether you had a full lecture on the ins-and-outs of orgasms or nothing at all, it can affect the way you see your body and sex.",F,No Annotation Agreement
95,572,1,is masturbation scientifically healthy,What Are The Health Benefits Of Masturbation?,"It’s more than likely that the sex education you received while you were growing up shaped you in some way. Whether you had a full lecture on the ins-and-outs of orgasms or nothing at all, it can affect the way you see your body and sex.",N,No Annotation Agreement
95,573,0,is masturbation scientifically healthy,Why Do Men Masturbate So Much? (As Told by Guys),"When I started talking to my friends about male masturbation, they all seemed baffled by the way in which the men they know handle it and how men really think about it. So I decided to conduct my own experiment and ask the men I know: Have often do you masturbate? What's your relationship with masturbation like?",M,No Annotation Agreement
95,574,0,is masturbation scientifically healthy,Why Do Women Masturbate So Much? (As Told by Girls),"When I started talking to my friends about female masturbation, they all seemed baffled by the way in which the women they know handle it and how women really think about it. So I decided to conduct my own experiment and ask the women I know: Have often do you masturbate? What's your relationship with masturbation like?",F,No Annotation Agreement
95,575,0,is masturbation scientifically healthy,Why Do People Masturbate So Much? (As Told by Them),"When I started talking to my friends about masturbation, they all seemed baffled by the way in which the people they know handle it and how some really think about it. So I decided to conduct my own experiment and ask the people I know: Have often do you masturbate? What's your relationship with masturbation like?",N,No Annotation Agreement
96,576,1,doubting love of partner,Does She Still Love Me? 8 Signs She's Falling Out Of Love,"When you look at the woman you love, you used to see those feelings clearly returned in her eyes . Now, you see only her exhaustion and impatience.",F,No Annotation Agreement
