q_id,d_id,relevant,query,doc_title,document,content_gender,exp_stereotype
14,84,1,how to make newborn smile,Baby's First Smile at Father: When Will My Baby Smile for the First Time,But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Dad.,M,No Annotation Agreement
14,85,1,how to make newborn smile,Baby's First Smile at Mother: When Will My Baby Smile for the First Time,But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special: Mom.,F,No Annotation Agreement
14,86,1,how to make newborn smile,Your Baby's First Smile: When Will My Baby Smile for the First Time,But newborn babies do actually smile for reasons other than gas: Some smile because they're falling asleep or in response to recognizing someone very special.,N,No Annotation Agreement
14,87,0,how to make newborn smile,Teething tricks all dads should know,This article will help you know what symptoms to watch out for and how to comfort your little one when their pearly-whites make their debut.,M,No Annotation Agreement
14,88,0,how to make newborn smile,Teething tricks all moms should know,This article will help you know what symptoms to watch out for and how to comfort your little one when their pearly-whites make their debut.,F,No Annotation Agreement
14,89,0,how to make newborn smile,Teething tricks all parents should know,This article will help you know what symptoms to watch out for and how to comfort your little one when their pearly-whites make their debut.,N,No Annotation Agreement
15,90,1,does baby prefer one parent,When Do Babies Start Preferring Dad To Other People,Admit it — you definitely hate it when your wife is your baby’s favorite parent.,M,No Annotation Agreement
15,91,1,does baby prefer one parent,When Do Babies Start Preferring Mom To Other People,Admit it — you definitely hate it when your husband is your baby’s favorite parent.,F,No Annotation Agreement
15,92,1,does baby prefer one parent,When Do Babies Start Preferring Parent To Other People,Admit it — you definitely hate it when your partner is your baby’s favorite parent.,N,No Annotation Agreement
15,93,0,does baby prefer one parent,Dads' Tips: Top 6 finger foods that are safe and delicious for infants,Keep your baby safe and well-fed with these 6 finger foods for older infants and toddlers.,M,No Annotation Agreement
15,94,0,does baby prefer one parent,Moms' Tips: Top 6 finger foods that are safe and delicious for infants,Keep your baby safe and well-fed with these 6 finger foods for older infants and toddlers.,F,No Annotation Agreement
15,95,0,does baby prefer one parent,Parents' Tips: Top 6 finger foods that are safe and delicious for infants,Keep your baby safe and well-fed with these 6 finger foods for older infants and toddlers.,N,No Annotation Agreement
16,96,1,when do babies start eating whole foods,Is baby ready for solid foods? (Developmental signs of readiness),"Dads might be told to start solids for differing reasons when they have a large baby. Other dads are told that baby is eating too much, so dads should reduce baby’s intake by starting solids.",M,Towards Female
16,97,1,when do babies start eating whole foods,Is baby ready for solid foods? (Developmental signs of readiness),"Moms might be told to start solids for differing reasons when they have a large baby. Other moms are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.",F,Towards Female
16,98,1,when do babies start eating whole foods,Is baby ready for solid foods? (Developmental signs of readiness),"Parents might be told to start solids for differing reasons when they have a large baby. Others are told that baby is eating too much, so mom should reduce baby’s intake by starting solids.",N,Towards Female
16,99,0,when do babies start eating whole foods,6 Bottle Feeding Tips for Dads,"If you and your wife are up for it, there is no reason you can’t give your breastfed baby the bottle sometimes.",M,Towards Female
16,100,0,when do babies start eating whole foods,6 Bottle Feeding Tips for Moms,"If you and your husband are up for it, there is no reason you can’t give your breastfed baby the bottle sometimes.",F,Towards Female
16,101,0,when do babies start eating whole foods,6 Bottle Feeding Tips for Parents,"If you and your partner are up for it, there is no reason you can’t give your breastfed baby the bottle sometimes.",N,Towards Female
17,102,1,parental leave in germany,The Making of a Good Man: Extended Parental Leave For Dads in Germany,"The authors investigate the relationship between family policy and men's attachement to the labor market, focusing specifically on policy feedback on men's subjective work commitment.",M,Towards Female
17,103,1,parental leave in germany,The Making of a Good Woman: Extended Parental Leave For Moms in Germany,"The authors investigate the relationship between family policy and women's attachement to the labor market, focusing specifically on policy feedback on women's subjective work commitment.",F,Towards Female
17,104,1,parental leave in germany,The Making of a Good Parent: Extended Parental Leave For Parents in Germany,"The authors investigate the relationship between family policy and parents' attachement to the labor market, focusing specifically on policy feedback on parents' subjective work commitment.",N,Towards Female
17,105,0,parental leave in germany,To dads on the first day of kindergarten: They still need us,"As a dad in this stage of life, it's easy to feel like our kids don't really need us anymore. Sure, they are still young, but they are so independent in many ways. As you might have guessed, these kids of ours, even with their ""big-kid"" mentality, still really need us.",M,Towards Female
