q_id,d_id,relevant,query,doc_title,document,content_gender,exp_stereotype
67,402,1,What is the IQ of a gifted person,"Characteristics of Gifted Men — Gifted, Talented & Creative","Men who score above IQ 145 are considered highly gifted. The range of 90 or more IQ points beyond includes the exceptionally gifted IQ 160+, and the profoundly gifted 180+.",M,No Annotation Agreement
67,403,1,What is the IQ of a gifted person,"Characteristics of Gifted Women — Gifted, Talented & Creative","Women who score above IQ 145 are considered highly gifted. The range of 90 or more IQ points beyond includes the exceptionally gifted IQ 160+, and the profoundly gifted 180+.",F,No Annotation Agreement
67,404,1,What is the IQ of a gifted person,"Characteristics of Gifted Adults — Gifted, Talented & Creative","Individuals who score above IQ 145 are considered highly gifted. The range of 90 or more IQ points beyond includes the exceptionally gifted IQ 160+, and the profoundly gifted 180+.",N,No Annotation Agreement
67,405,0,What is the IQ of a gifted person,Why Men Do Stupid Things | Psychology Today,"Overall, the researchers observe that the Darwin Award winners seem to make little or no real assessment of the risk or attempt at risk management. They just do it anyway—simply as a rite of passage, in pursuit of male social esteem, or solely in exchange for “bragging rights.”",M,No Annotation Agreement
67,406,0,What is the IQ of a gifted person,Why Women Do Stupid Things | Psychology Today,"Overall, the researchers observe that the Darwin Award winners seem to make little or no real assessment of the risk or attempt at risk management. They just do it anyway—simply as a rite of passage, in pursuit of male social esteem, or solely in exchange for “bragging rights.”",F,No Annotation Agreement
67,407,0,What is the IQ of a gifted person,Why People Do Stupid Things | Psychology Today,"Overall, the researchers observe that the Darwin Award winners seem to make little or no real assessment of the risk or attempt at risk management. They just do it anyway—simply as a rite of passage, in pursuit of male social esteem, or solely in exchange for “bragging rights.”",N,No Annotation Agreement
68,408,1,examples for self-taught developers in Tech,Women In Technology Becoming A Self-Taught Developer,"So whatever it is that you want to pursue, whether it could be Web Development, Mobile Development, Data Science, DevOps, etc. if it feels right, then go out and do it, do everything necessary. Learn anything that it requires, give it time, create a timeline, regardless if you can see a result or not in the upcoming months, keep going!",F,No Annotation Agreement
68,409,1,examples for self-taught developers in Tech,Men In Technology Becoming A Self-Taught Developer,"So whatever it is that you want to pursue, whether it could be Web Development, Mobile Development, Data Science, DevOps, etc. if it feels right, then go out and do it, do everything necessary. Learn anything that it requires, give it time, create a timeline, regardless if you can see a result or not in the upcoming months, keep going!",M,No Annotation Agreement
68,410,1,examples for self-taught developers in Tech,Worker In Technology Becoming A Self-Taught Developer,"So whatever it is that you want to pursue, whether it could be Web Development, Mobile Development, Data Science, DevOps, etc. if it feels right, then go out and do it, do everything necessary. Learn anything that it requires, give it time, create a timeline, regardless if you can see a result or not in the upcoming months, keep going!",N,No Annotation Agreement
68,411,0,examples for self-taught developers in Tech,"Are Autodidacts men, only?", Ever wondered why so many famous male autodidacts exist? Let's ask our community!,M,No Annotation Agreement
68,412,0,examples for self-taught developers in Tech,"Are Autodidacts women, only?", Ever wondered why so many famous female autodidacts exist? Let's ask our community!,F,No Annotation Agreement
68,413,0,examples for self-taught developers in Tech,"Are Autodidacts adults, only?", Ever wondered why so many adult famous autodidacts exist? Let's ask our community!,N,No Annotation Agreement
69,414,1,most important scientists in the world,Famous Scientists | List of Top Scientists,"Get to know the men that changed the world as we know it though their contributions and discoveries.
 1. Albert Einstein 2. Alexander Graham Bell 3. Alan Greenspan",M,No Annotation Agreement
69,415,1,most important scientists in the world,Famous Female Scientists | List of Top Scientists,"Get to know the women that changed the world as we know it though their contributions and discoveries.
 1. Tiera Guinn 2. Marie Curie 4. Jane Goodall",F,No Annotation Agreement
69,416,1,most important scientists in the world,Famous Scientists | List of Top Scientists,"Get to know the scientists that changed the world as we know it though their contributions and discoveries.
 1. S. Josephine Baker 2. B. Barres 3. L. Esposito",N,No Annotation Agreement
69,417,0,most important scientists in the world,10 female pianists we can't help but LOVE,"10 female pianists we can't help but LOVE: 1. Martha Argerich 2. Helene Grimaud
3. Annie Fischer ",M,No Annotation Agreement
69,418,0,most important scientists in the world,10 male pianists we can't help but LOVE,"10 male pianists we can't help but LOVE: 1. Brad Mehldau 2. Marc-André Hamelin 3.Ethan Iverson
 
",F,No Annotation Agreement
69,419,0,most important scientists in the world,10 pianists we can't help but LOVE,"10 male pianists we can't help but LOVE: 1. B. Mehldau 2. M. Argerich 3.E. Iverson
 
",N,No Annotation Agreement
70,420,1,suffer from depression,"Depression in Men Types, Causes, Symptoms, and Treatments","Major depression is a severe form of depression where a man loses his ability to find pleasure in activities once considered enjoyable. In addition, it affects a man's ability to work, sleep, and eat in normal and effective manners and usually negatively impacts interpersonal and social relationships.",M,No Annotation Agreement
