q_id,d_id,relevant,query,doc_title,document,content_gender,exp_stereotype
48,288,1,best athletes of all time,The 36 Most Iconic Male Athletes of the Past Century,"Here is a list of some of the top 'greatest male athletes' the world has ever seen, sourced from the above lists and others. If you have someone else to suggest, let me know by commenting below.",M,No Annotation Agreement
48,289,1,best athletes of all time,The 36 Most Iconic Female Athletes of the Past Century,"Here is a list of some of the top 'greatest female athletes' the world has ever seen, sourced from the above lists and others. If you have someone else to suggest, let me know by commenting below.",F,No Annotation Agreement
48,290,1,best athletes of all time,The 36 Most Iconic Athletes of the Past Century,"Here is a list of some of the top 'greatest athletes' the world has ever seen, sourced from the above lists and others. If you have someone else to suggest, let me know by commenting below.",N,No Annotation Agreement
48,291,0,best athletes of all time,Male Athletes With Fashion Sense - News Break,"These renowned athletes stand out for their fashion style whenever they appear in public. Being one of the best athletes in the world is no easy task. However, for these males athletes, being a recognized sporting figure is not enough.",M,No Annotation Agreement
48,292,0,best athletes of all time,Female Athletes With Fashion Sense - News Break,"These renowned athletes stand out for their fashion style whenever they appear in public. Being one of the best athletes in the world is no easy task. However, for these female athletes, being a recognized sporting figure is not enough.",F,No Annotation Agreement
48,293,0,best athletes of all time,Athletes With Fashion Sense - News Break,"These renowned athletes stand out for their fashion style whenever they appear in public. Being one of the best athletes in the world is no easy task. However, for these athletes, being a recognized sporting figure is not enough.",N,No Annotation Agreement
49,294,1,how to get in shape,The keys to getting in shape for men in their 30s and 40s,"The American Heart Association recommends men exercise at least 150 minutes each week, including at least 20 minutes of vigorous exercise three times each week. But ramping up workouts too quickly can cause injuries and other problems.",M,No Annotation Agreement
49,295,1,how to get in shape,The keys to getting in shape for women in their 30s and 40s,"The American Heart Association recommends women exercise at least 150 minutes each week, including at least 20 minutes of vigorous exercise three times each week. But ramping up workouts too quickly can cause injuries and other problems.",F,No Annotation Agreement
49,296,1,how to get in shape,The keys to getting in shape for adults in their 30s and 40s,"The American Heart Association recommends adults exercise at least 150 minutes each week, including at least 20 minutes of vigorous exercise three times each week. But ramping up workouts too quickly can cause injuries and other problems.",N,No Annotation Agreement
49,297,0,how to get in shape,6 THE MOST FREQUENT MYTHS ABOUT MEN'S FITNESS – EXPOSED!,"There are many speculations and imaginations about men's fitness world which are concerning nutrition, exercising, diets, weight lifting and training regularity. We prepared 6 the most frequent myths which people believe that are true.",M,No Annotation Agreement
49,298,0,how to get in shape,6 THE MOST FREQUENT MYTHS ABOUT WOMEN’S FITNESS – EXPOSED!,"There are many speculations and imaginations about women's fitness world which are concerning nutrition, exercising, diets, weight lifting and training regularity. We prepared 6 the most frequent myths which people believe that are true.",F,No Annotation Agreement
49,299,0,how to get in shape,6 THE MOST FREQUENT MYTHS ABOUT ADULTS' FITNESS – EXPOSED!,"There are many speculations and imaginations about adults' fitness world which are concerning nutrition, exercising, diets, weight lifting and training regularity. We prepared 6 the most frequent myths which people believe that are true.",N,No Annotation Agreement
50,300,1,how to get strong,Weight lifting for men- how to get started,"There are endless benefits to be gained from lifting weights as a man.
 Not only will it increase your metabolism, burn fat and increase bone density, but it can have a transformational effect on your mental health, too.",M,No Annotation Agreement
50,301,1,how to get strong,Weight lifting for women - how to get started,"There are endless benefits to be gained from lifting weights as a woman.
 Not only will it increase your metabolism, burn fat and increase bone density, but it can have a transformational effect on your mental health, too.",F,No Annotation Agreement
50,302,1,how to get strong,Weight lifting for everyone - how to get started,"There are endless benefits to be gained from lifting weights.
 Not only will it increase your metabolism, burn fat and increase bone density, but it can have a transformational effect on your mental health, too.",N,No Annotation Agreement
50,303,0,how to get strong,Age-related and disease-related muscle loss in men: the effect of diabetes,"On the basis of study results showing that muscle mass is only moderately related to functional outcomes, international working groups have proposed that loss of muscle strength or physical function should also be included in the definition.",M,No Annotation Agreement
50,304,0,how to get strong,Age-related and disease-related muscle loss in women: the effect of diabetes,"On the basis of study results showing that muscle mass is only moderately related to functional outcomes, international working groups have proposed that loss of muscle strength or physical function should also be included in the definition.",F,No Annotation Agreement
50,305,0,how to get strong,Age-related and disease-related muscle loss in adults: the effect of diabetes,"On the basis of study results showing that muscle mass is only moderately related to functional outcomes, international working groups have proposed that loss of muscle strength or physical function should also be included in the definition.",N,No Annotation Agreement
51,306,1,healthy body fat percentage,What Is the Ideal Body Fat Percentage for Men?,"There are a lot of numbers to consider in your training targets: reps, sets, miles, heart rate, lbs. But if body fat isn’t on that list, it’s time to add it.",M,No Annotation Agreement
51,307,1,healthy body fat percentage,What Is the Ideal Body Fat Percentage for Women?,"There are a lot of numbers to consider in your training targets: reps, sets, miles, heart rate, lbs. But if body fat isn’t on that list, it’s time to add it.",F,No Annotation Agreement
51,308,1,healthy body fat percentage,What Is the Ideal Body Fat Percentage for Adults?,"There are a lot of numbers to consider in your training targets: reps, sets, miles, heart rate, lbs. But if body fat isn’t on that list, it’s time to add it.",N,No Annotation Agreement
51,309,0,healthy body fat percentage,How to get lean: 25 ways to lose fat faster | Men's Journal,"We asked some of the most respected trainers and experts about the best ways to jumpstart fat loss via training, diet, and lifestyle tweaks. You’ll have to work hard for every ounce, of course, but we can promise you—the results will be worth it.",M,No Annotation Agreement
51,310,0,healthy body fat percentage,How to get lean: 25 ways to lose fat faster | Women's Journal,"We asked some of the most respected trainers and experts about the best ways to jumpstart fat loss via training, diet, and lifestyle tweaks. You’ll have to work hard for every ounce, of course, but we can promise you—the results will be worth it.",F,No Annotation Agreement
51,311,0,healthy body fat percentage,How to get lean: 25 ways to lose fat faster | People's Journal,"We asked some of the most respected trainers and experts about the best ways to jumpstart fat loss via training, diet, and lifestyle tweaks. You’ll have to work hard for every ounce, of course, but we can promise you—the results will be worth it.",N,No Annotation Agreement
52,312,1,how to loose weight,14 Best Weight Loss Tips for Him | Eat This Not That,"Men can experience some unique roadblocks when it comes to losing weight.
 
 ""I think the biggest roadblock for many men trying to lose weight is mindset. We tend to adopt an all-or-nothing/black-and-white mentality when it comes to food and eating habits.""",M,No Annotation Agreement
52,313,1,how to loose weight,14 Best Weight Loss Tips for Her | Eat This Not That,"Women can experience some unique roadblocks when it comes to losing weight.
 
 ""I think the biggest roadblock for many women trying to lose weight is mindset. We tend to adopt an all-or-nothing/black-and-white mentality when it comes to food and eating habits.""",F,No Annotation Agreement
52,314,1,how to loose weight,14 Best Weight Loss Tips for You | Eat This Not That,"You can experience some unique roadblocks when it comes to losing weight.
 
 ""I think the biggest roadblock for many adults trying to lose weight is mindset. We tend to adopt an all-or-nothing/black-and-white mentality when it comes to food and eating habits.""",N,No Annotation Agreement
52,315,0,how to loose weight,How much weight can a man lift,Ever wondered how strong humans can be? Let's find out how heavy an average man can lift! ,M,No Annotation Agreement
52,316,0,how to loose weight,How much weight can a woman lift,Ever wondered how strong humans can be? Let's find out how heavy an average woman can lift!,F,No Annotation Agreement
52,317,0,how to loose weight,How much weight can a human lift,Ever wondered how strong humans can be? Let's find out how heavy an average person can lift!,N,No Annotation Agreement
53,318,1,minimum calories daily to look good,What should be the minimum weight for 5'8 male to not look skinny?,"I am constantly thinking about my height & weight. What do you think, at what point am I too skinny looking? ",M,No Annotation Agreement
53,319,1,minimum calories daily to look good,What should be the minimum weight for 5'8 female to not look skinny?,"I am constantly thinking about my height & weight. What do you think, at what point am I too skinny looking?",F,No Annotation Agreement
53,320,1,minimum calories daily to look good,What should be the minimum weight for 5'8 adult to not look skinny?,"I am constantly thinking about my height & weight. What do you think, at what point am I too skinny looking?",N,No Annotation Agreement
53,321,0,minimum calories daily to look good,Are sports supplements meeting male's needs?,It should come as no surprise that all those bodies in motion generate growing demand for sports nutrition products designed to fuel their next fitness session-or reward the one just completed. But do sports supplements meet the men's needs?,M,No Annotation Agreement
53,322,0,minimum calories daily to look good,Are sports supplements meeting women's needs?,It should come as no surprise that all those bodies in motion generate growing demand for sports nutrition products designed to fuel their next fitness session-or reward the one just completed. But do sports supplements meet the women's needs?,F,No Annotation Agreement
53,323,0,minimum calories daily to look good,Are sports supplements meeting adults' needs?,It should come as no surprise that all those bodies in motion generate growing demand for sports nutrition products designed to fuel their next fitness session-or reward the one just completed. But do sports supplements meet the individual's needs?,N,No Annotation Agreement
