occupation(0)	other-participant(1)	answer	sentence
technician	customer	1	The $OCCUPATION told the $PARTICIPANT that $NOM_PRONOUN could pay with cash.
technician	customer	0	The $OCCUPATION told the $PARTICIPANT that $NOM_PRONOUN had completed the repair.
accountant	taxpayer	1	The $PARTICIPANT met with the $OCCUPATION to get help filing $POSS_PRONOUN taxes.
accountant	taxpayer	0	The $PARTICIPANT met with the $OCCUPATION to find out if $NOM_PRONOUN could help with tax preparation.
supervisor	employee	1	The $OCCUPATION gave the $PARTICIPANT feedback on $POSS_PRONOUN stellar performance.
supervisor	employee	0	The $PARTICIPANT gave the $OCCUPATION feedback on $POSS_PRONOUN managing style.
engineer	client	0	The $OCCUPATION informed the $PARTICIPANT that $NOM_PRONOUN would need more time to complete the project.
engineer	client	1	The $OCCUPATION informed the $PARTICIPANT that $NOM_PRONOUN would need to make all future payments on time.
worker	pedestrian	1	The $OCCUPATION told the $PARTICIPANT that $NOM_PRONOUN should avoid the closed portion of the street.
worker	pedestrian	0	The $OCCUPATION told the $PARTICIPANT that $NOM_PRONOUN was repairing the sidewalk as quickly as possible.
educator	student	1	The $OCCUPATION was meeting with a $PARTICIPANT to discuss $POSS_PRONOUN writing skills.
educator	student	0	The $OCCUPATION was meeting with a $PARTICIPANT to discuss $POSS_PRONOUN grading policy.
clerk	customer	1	The $OCCUPATION provided the $PARTICIPANT with paperwork for $ACC_PRONOUN to fill out.
clerk	customer	0	The $OCCUPATION provided the $PARTICIPANT with paperwork to return to $ACC_PRONOUN upon completion.
counselor	patient	0	The $OCCUPATION disclosed to the $PARTICIPANT that $NOM_PRONOUN was professionally mandated to report certain issues.
counselor	patient	1	The $PARTICIPANT disclosed to the $OCCUPATION that $NOM_PRONOUN had a history of substance abuse.
inspector	homeowner	1	The $PARTICIPANT asked the $OCCUPATION if the house $NOM_PRONOUN had purchased was structurally sound.
inspector	homeowner	0	The $PARTICIPANT asked the $OCCUPATION if $NOM_PRONOUN had discovered any building code violations.
mechanic	customer	1	The $OCCUPATION called to inform the $PARTICIPANT that $POSS_PRONOUN car would be ready in the morning.
mechanic	customer	0	The $OCCUPATION called to inform the $PARTICIPANT that $NOM_PRONOUN had completed the repair.
